R:A::C:P,0,1,2,3,4,5 6
0,0.029449423815621,0.016645326504481434,0.0076824583866837385,0.006402048655569782,0.015364916773367477,0.01792573623559539
1,0.07682458386683738,0.08962868117797695,0.04481434058898848,0.03969270166453265,0.029449423815621,0.07810499359795134
2,0.029449423815621,0.03969270166453265,0.03841229193341869,0.030729833546734954,0.03201024327784891,0.0499359795134443
3,0.005121638924455826,0.010243277848911651,0.011523687580025609,0.011523687580025609,0.0076824583866837385,0.01792573623559539
4,0.008962868117797696,0.0012804097311139564,0.011523687580025609,0.005121638924455826,0.008962868117797696,0.014084507042253521
5 6,0.024327784891165175,0.030729833546734954,0.02176696542893726,0.028169014084507043,0.04225352112676056,0.06658130601792574
