R:A::C:P,0 1,2,3 4 5,6
0 1,0.6511627906976745,0.11627906976744186,0.23255813953488372,0.0
2,0.2962962962962963,0.3333333333333333,0.37037037037037035,0.0
3 4 5,0.16666666666666666,0.25,0.4166666666666667,0.16666666666666666
6,0.0,0.0,1.0,0.0
