R:A::C:P,0,1 5,2 3 6,4
0,0.022988505747126436,0.017241379310344827,0.008620689655172414,0.004310344827586207
1 5,0.07830459770114942,0.10847701149425287,0.10991379310344827,0.04597701149425287
2 3 6,0.07543103448275862,0.15445402298850575,0.2471264367816092,0.07471264367816093
4,0.005747126436781609,0.010057471264367816,0.02514367816091954,0.011494252873563218
