R:A::C:P,0 1 2,3 5,4,6
0 1 2,0.6402439024390244,0.40229885057471265,0.47368421052631576,0.40404040404040403
3 5,0.125,0.1810344827586207,0.15263157894736842,0.12121212121212122
4,0.04420731707317073,0.06321839080459771,0.08421052631578947,0.030303030303030304
6,0.19054878048780488,0.35344827586206895,0.2894736842105263,0.4444444444444444
