R:A::C:P,0,1 2,3 4,5,6
0,0.3010752688172043,0.10909090909090909,0.10638297872340426,0.2,0.09259259259259259
1 2,0.6129032258064516,0.7454545454545455,0.6063829787234043,0.4,0.7592592592592593
3 4,0.03225806451612903,0.08181818181818182,0.1702127659574468,0.16,0.07407407407407407
5,0.043010752688172046,0.01818181818181818,0.05319148936170213,0.12,0.05555555555555555
6,0.010752688172043012,0.045454545454545456,0.06382978723404255,0.12,0.018518518518518517
