R:A::C:P,0 3,1 2,4,5
0 3,0.2727272727272727,0.2558139534883721,0.0,0.6666666666666666
1 2,0.7272727272727273,0.6976744186046512,0.0,0.3333333333333333
4,0.0,0.023255813953488372,1.0,0.0
5,0.0,0.023255813953488372,0.0,0.0
