R:A::C:P,0,1 3 5 6,2,4
0,0.3150684931506849,0.4383561643835616,0.0821917808219178,0.1643835616438356
1 3 5 6,0.16700201207243462,0.5855130784708249,0.1227364185110664,0.12474849094567404
2,0.13372093023255813,0.5465116279069767,0.1744186046511628,0.14534883720930233
4,0.1794871794871795,0.41025641025641024,0.23076923076923078,0.1794871794871795
