R:A::C:P,0,1 3 5 6,2,4
0,0.029449423815621,0.040973111395646605,0.0076824583866837385,0.015364916773367477
1 3 5 6,0.10627400768245839,0.3725992317541613,0.07810499359795134,0.0793854033290653
2,0.029449423815621,0.1203585147247119,0.03841229193341869,0.03201024327784891
4,0.008962868117797696,0.020486555697823303,0.011523687580025609,0.008962868117797696
