R:A::C:P,0 2,1 4 6,3 5
0 2,0.34097421203438394,0.4269340974212034,0.23209169054441262
1 4 6,0.28875739644970416,0.46982248520710057,0.24142011834319527
3 5,0.29797979797979796,0.3838383838383838,0.3181818181818182
