R:A::C:P,0 3,1 4,2,5,6
0 3,0.46875,0.375,0.0625,0.0625,0.03125
1 4,0.3333333333333333,0.42857142857142855,0.15873015873015872,0.06349206349206349,0.015873015873015872
2,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.0
5,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0
6,1.0,0.0,0.0,0.0,0.0
