R:A::C:P,0,1 2,3 4 6,5
0,0.3939393939393939,0.14545454545454545,0.13793103448275862,0.2222222222222222
1 2,0.5454545454545454,0.8,0.5862068965517241,0.7777777777777778
3 4 6,0.030303030303030304,0.03636363636363636,0.2413793103448276,0.0
5,0.030303030303030304,0.01818181818181818,0.034482758620689655,0.0
