R:A::C:P,0,1,2 3 4,5 6
0,0.3150684931506849,0.1780821917808219,0.3150684931506849,0.1917808219178082
1,0.21428571428571427,0.25,0.31785714285714284,0.21785714285714286
2 3 4,0.13026819923371646,0.1532567049808429,0.47126436781609193,0.24521072796934865
5 6,0.11377245508982035,0.1437125748502994,0.4311377245508982,0.31137724550898205
