R:A::C:P,0 1,2 3,4 5 6
0 1,0.46794871794871795,0.2692307692307692,0.26282051282051283
2 3,0.24242424242424243,0.3787878787878788,0.3787878787878788
4 5 6,0.2,0.48,0.32
