R:A::C:P,0 1,2 3,4 5 6
0 1,0.776595744680851,0.5316455696202531,0.5540540540540541
2 3,0.1702127659574468,0.31645569620253167,0.33783783783783783
4 5 6,0.05319148936170213,0.1518987341772152,0.10810810810810811
