R:A::C:P,0 6,1,2,3,4,5
0 6,0.25142857142857145,0.18604651162790697,0.14893617021276595,0.14516129032258066,0.22413793103448276,0.17647058823529413
1,0.44571428571428573,0.5,0.425531914893617,0.3064516129032258,0.46551724137931033,0.37254901960784315
2,0.15428571428571428,0.23255813953488372,0.2553191489361702,0.3387096774193548,0.1724137931034483,0.17647058823529413
3,0.045714285714285714,0.03488372093023256,0.09574468085106383,0.08064516129032258,0.034482758620689655,0.13725490196078433
4,0.05142857142857143,0.023255813953488372,0.05319148936170213,0.016129032258064516,0.0,0.13725490196078433
5,0.05142857142857143,0.023255813953488372,0.02127659574468085,0.11290322580645161,0.10344827586206896,0.0
