R:A::C:P,0 4 5 6,1,2,3
0 4 5 6,0.719626168224299,0.09345794392523364,0.102803738317757,0.08411214953271028
1,0.5843373493975904,0.18674698795180722,0.12650602409638553,0.10240963855421686
2,0.5308641975308642,0.20987654320987653,0.16049382716049382,0.09876543209876543
3,0.5454545454545454,0.045454545454545456,0.2727272727272727,0.13636363636363635
