R:A::C:P,0 4 5 6,1,2,3
0 4 5 6,0.2047872340425532,0.026595744680851064,0.02925531914893617,0.023936170212765957
1,0.2579787234042553,0.08244680851063829,0.05585106382978723,0.04521276595744681
2,0.11436170212765957,0.04521276595744681,0.034574468085106384,0.02127659574468085
3,0.031914893617021274,0.0026595744680851063,0.015957446808510637,0.007978723404255319
