R:A::C:P,0,1,2 5,3 6,4
0,0.3150684931506849,0.1780821917808219,0.2054794520547945,0.136986301369863,0.1643835616438356
1,0.21428571428571427,0.25,0.21785714285714286,0.2357142857142857,0.08214285714285714
2 5,0.13100436681222707,0.16593886462882096,0.31877729257641924,0.23580786026200873,0.14847161572052403
3 6,0.1,0.15625,0.2625,0.29375,0.1875
4,0.1794871794871795,0.02564102564102564,0.4358974358974359,0.1794871794871795,0.1794871794871795
