R:A::C:P,0,1,2 5,3 6,4
0,0.029449423815621,0.016645326504481434,0.019206145966709345,0.012804097311139564,0.015364916773367477
1,0.07682458386683738,0.08962868117797695,0.07810499359795134,0.08450704225352113,0.029449423815621
2 5,0.03841229193341869,0.04865556978233035,0.09346991037131883,0.06914212548015365,0.04353393085787452
3 6,0.020486555697823303,0.03201024327784891,0.05377720870678617,0.06017925736235595,0.03841229193341869
4,0.008962868117797696,0.0012804097311139564,0.02176696542893726,0.008962868117797696,0.008962868117797696
