R:A::C:P,0 2 4 6,1,3,5
0 2 4 6,0.3426724137931034,0.07902298850574713,0.07902298850574713,0.08333333333333333
1,0.15876436781609196,0.07255747126436782,0.02442528735632184,0.017959770114942528
3,0.04310344827586207,0.007902298850574713,0.010775862068965518,0.011494252873563218
5,0.03735632183908046,0.008620689655172414,0.013649425287356323,0.009339080459770116
