R:A::C:P,0 2 4 6,1,3,5
0 2 4 6,0.5888888888888889,0.4700854700854701,0.6179775280898876,0.6823529411764706
1,0.27283950617283953,0.43162393162393164,0.19101123595505617,0.14705882352941177
3,0.07407407407407407,0.04700854700854701,0.08426966292134831,0.09411764705882353
5,0.06419753086419754,0.05128205128205128,0.10674157303370786,0.07647058823529412
