R:A::C:P,0 2 4 6,1,3,5
0 2 4 6,0.5867158671586716,0.13530135301353013,0.13530135301353013,0.14268142681426815
1,0.5800524934383202,0.2650918635170604,0.08923884514435695,0.06561679790026247
3,0.5882352941176471,0.10784313725490197,0.14705882352941177,0.1568627450980392
5,0.5416666666666666,0.125,0.19791666666666666,0.13541666666666666
