R:A::C:P,0 1,2,3 4 5 6
0 1,0.504424778761062,0.11061946902654868,0.38495575221238937
2,0.3333333333333333,0.16049382716049382,0.5061728395061729
3 4 5 6,0.15942028985507245,0.18840579710144928,0.6521739130434783
