R:A::C:P,0,1,2,3,4,5,6,7,p
0,28,12,3,5,3,1,0,7,1
1,32,63,19,10,13,1,5,15,8
2,11,20,25,12,3,3,4,1,2
3,0,4,3,7,4,3,1,0,0
4,1,2,1,3,6,0,1,0,0
5,4,1,1,4,2,3,2,0,0
6,0,2,3,4,4,0,0,3,0
7,2,0,0,0,0,0,0,2,1
p,3,2,4,0,0,1,0,2,0
