R:A::C:P,0,1,2,3 4 5 6
0,0.5,0.11904761904761904,0.09523809523809523,0.2857142857142857
1,0.2894736842105263,0.12280701754385964,0.19298245614035087,0.39473684210526316
2,0.12962962962962962,0.14814814814814814,0.18518518518518517,0.5370370370370371
3 4 5 6,0.10810810810810811,0.05405405405405406,0.21621621621621623,0.6216216216216216
