R:A::C:P,0 1,2,3 4,5 6
0 1,0.5865724381625441,0.3867924528301887,0.35323383084577115,0.39267015706806285
2,0.19081272084805653,0.2830188679245283,0.24378109452736318,0.20418848167539266
3 4,0.0706713780918728,0.16981132075471697,0.12935323383084577,0.13089005235602094
5 6,0.1519434628975265,0.16037735849056603,0.2736318407960199,0.27225130890052357
