R:A::C:P,0 1,2,3 4 5 6
0 1,0.6944444444444444,0.5319148936170213,0.4351851851851852
2,0.1712962962962963,0.2553191489361702,0.23148148148148148
3 4 5 6,0.13425925925925927,0.2127659574468085,0.3333333333333333
