R:A::C:P,0 1,2,3 5,4,6
0 1,0.28517110266159695,0.09505703422053231,0.09315589353612168,0.060836501901140684,0.024714828897338403
2,0.07034220532319392,0.045627376425855515,0.057034220532319393,0.019011406844106463,0.019011406844106463
3 5,0.026615969581749048,0.02091254752851711,0.03612167300380228,0.015209125475285171,0.015209125475285171
4,0.009505703422053232,0.009505703422053232,0.015209125475285171,0.0,0.011406844106463879
6,0.019011406844106463,0.0076045627376425855,0.013307984790874524,0.015209125475285171,0.015209125475285171
