R:A::C:P,0 1 4,2 5,3 6
0 1 4,0.8426966292134831,0.5833333333333334,0.47058823529411764
2 5,0.11235955056179775,0.3611111111111111,0.4411764705882353
3 6,0.0449438202247191,0.05555555555555555,0.08823529411764706
