R:A::C:P,0 6,1,2,3,4,5
0 6,18,5,2,3,7,2
1,18,18,11,12,6,5
2,6,4,8,11,1,4
3,0,1,2,2,2,0
4,1,0,1,2,3,0
5,2,0,1,1,0,0
