R:A::C:P,0 6,1,2,3,4,5
0 6,0.4864864864864865,0.13513513513513514,0.05405405405405406,0.08108108108108109,0.1891891891891892,0.05405405405405406
1,0.2571428571428571,0.2571428571428571,0.15714285714285714,0.17142857142857143,0.08571428571428572,0.07142857142857142
2,0.17647058823529413,0.11764705882352941,0.23529411764705882,0.3235294117647059,0.029411764705882353,0.11764705882352941
3,0.0,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0
4,0.14285714285714285,0.0,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.0
5,0.5,0.0,0.25,0.25,0.0,0.0
