R:A::C:P,0,1 2 4,3 5 6
0,0.022988505747126436,0.022988505747126436,0.007183908045977011
1 2 4,0.09985632183908046,0.25287356321839083,0.17097701149425287
3 5 6,0.05962643678160919,0.14942528735632185,0.21408045977011494
