R:A::C:P,0,1,2,3,4,5,6
0,0,29,10,7,9,8,5
1,84,0,55,29,28,19,11
2,17,31,0,31,10,9,13
3,3,4,11,0,2,8,6
4,3,2,5,1,0,7,6
5,6,2,2,7,6,0,3
6,8,4,5,5,10,5,0
