R:A::C:P,0,1 2 3,4,5 6
0,0.1069182389937107,0.05660377358490566,0.0440251572327044,0.012578616352201259
1 2 3,0.13836477987421383,0.4339622641509434,0.05660377358490566,0.06918238993710692
4,0.006289308176100629,0.018867924528301886,0.018867924528301886,0.0
5 6,0.012578616352201259,0.018867924528301886,0.0,0.006289308176100629
