R:A::C:P,0 1,2,3,4 5,6
0 1,0.4702549575070821,0.11614730878186968,0.10198300283286119,0.19830028328611898,0.11331444759206799
2,0.313953488372093,0.1744186046511628,0.13953488372093023,0.29651162790697677,0.0755813953488372
3,0.24,0.18,0.18,0.28,0.12
4 5,0.22916666666666666,0.14583333333333334,0.11458333333333333,0.375,0.13541666666666666
6,0.2636363636363636,0.10909090909090909,0.13636363636363635,0.33636363636363636,0.15454545454545454
