R:A::C:P,0 1 3 5,2 6,4
0 1 3 5,0.44106463878326996,0.155893536121673,0.07604562737642585
2 6,0.1596958174904943,0.08745247148288973,0.034220532319391636
4,0.024714828897338403,0.02091254752851711,0.0
