R:A::C:P,0,1 2 4 6,3 5
0,0.4666666666666667,0.4,0.13333333333333333
1 2 4 6,0.21660649819494585,0.6389891696750902,0.1444043321299639
3 5,0.1282051282051282,0.5128205128205128,0.358974358974359
