                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                     01234-5-6   64.53%     37.96%     37.03%     6.64%   
                     0-12345-6   60.18%     39.62%     37.87%     6.65%   
                     0123-4-56   56.34%     38.45%     36.89%     8.60%   
                     0123-45-6   55.57%     39.74%     37.57%     9.71%   
                     0-1-23456   51.73%     43.06%     40.66%     14.71%  
                     012-3-456   51.60%     41.14%     39.01%     11.84%  
                     0-1234-56   50.83%     40.72%     38.59%     8.09%   
                     01-2345-6   48.78%     41.58%     41.25%     13.99%  
                     012-345-6   48.40%     39.61%     37.31%     10.09%  
                     0-123-456   47.76%     43.57%     40.36%     13.08%  
                     012-34-56   47.25%     38.59%     36.89%     9.02%   
                     01-2-3456   45.33%     42.06%     40.85%     14.16%  
                     0-12-3456   44.43%     43.32%     39.29%     12.96%  
                     01-23-456   43.66%     43.15%     42.40%     14.93%  
                     01-234-56   43.66%     41.76%     41.52%     13.28%  


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                     0-123-456   47.76%     43.57%     40.36%     13.08%  
                     0-12-3456   44.43%     43.32%     39.29%     12.96%  
                     01-23-456   43.66%     43.15%     42.40%     14.93%  
                     0-1-23456   51.73%     43.06%     40.66%     14.71%  
                     01-2-3456   45.33%     42.06%     40.85%     14.16%  
                     01-234-56   43.66%     41.76%     41.52%     13.28%  
                     01-2345-6   48.78%     41.58%     41.25%     13.99%  
                     012-3-456   51.60%     41.14%     39.01%     11.84%  
                     0-1234-56   50.83%     40.72%     38.59%     8.09%   
                     0123-45-6   55.57%     39.74%     37.57%     9.71%   
                     0-12345-6   60.18%     39.62%     37.87%     6.65%   
                     012-345-6   48.40%     39.61%     37.31%     10.09%  
                     012-34-56   47.25%     38.59%     36.89%     9.02%   
                     0123-4-56   56.34%     38.45%     36.89%     8.60%   
                     01234-5-6   64.53%     37.96%     37.03%     6.64%   


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                     01-23-456   43.66%     43.15%     42.40%     14.93%  
                     01-234-56   43.66%     41.76%     41.52%     13.28%  
                     01-2345-6   48.78%     41.58%     41.25%     13.99%  
                     01-2-3456   45.33%     42.06%     40.85%     14.16%  
                     0-1-23456   51.73%     43.06%     40.66%     14.71%  
                     0-123-456   47.76%     43.57%     40.36%     13.08%  
                     0-12-3456   44.43%     43.32%     39.29%     12.96%  
                     012-3-456   51.60%     41.14%     39.01%     11.84%  
                     0-1234-56   50.83%     40.72%     38.59%     8.09%   
                     0-12345-6   60.18%     39.62%     37.87%     6.65%   
                     0123-45-6   55.57%     39.74%     37.57%     9.71%   
                     012-345-6   48.40%     39.61%     37.31%     10.09%  
                     01234-5-6   64.53%     37.96%     37.03%     6.64%   
                     0123-4-56   56.34%     38.45%     36.89%     8.60%   
                     012-34-56   47.25%     38.59%     36.89%     9.02%   


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                     01-23-456   43.66%     43.15%     42.40%     14.93%  
                     0-1-23456   51.73%     43.06%     40.66%     14.71%  
                     01-2-3456   45.33%     42.06%     40.85%     14.16%  
                     01-2345-6   48.78%     41.58%     41.25%     13.99%  
                     01-234-56   43.66%     41.76%     41.52%     13.28%  
                     0-123-456   47.76%     43.57%     40.36%     13.08%  
                     0-12-3456   44.43%     43.32%     39.29%     12.96%  
                     012-3-456   51.60%     41.14%     39.01%     11.84%  
                     012-345-6   48.40%     39.61%     37.31%     10.09%  
                     0123-45-6   55.57%     39.74%     37.57%     9.71%   
                     012-34-56   47.25%     38.59%     36.89%     9.02%   
                     0123-4-56   56.34%     38.45%     36.89%     8.60%   
                     0-1234-56   50.83%     40.72%     38.59%     8.09%   
                     0-12345-6   60.18%     39.62%     37.87%     6.65%   
                     01234-5-6   64.53%     37.96%     37.03%     6.64%   
