R:A::C:P,0,1,2 4,3 6,5
0,0.16911764705882354,0.08843537414965986,0.08490566037735849,0.05434782608695652,0.08823529411764706
1,0.4411764705882353,0.47619047619047616,0.27358490566037735,0.358695652173913,0.2549019607843137
2 4,0.22058823529411764,0.21768707482993196,0.33490566037735847,0.2391304347826087,0.3333333333333333
3 6,0.11764705882352941,0.17006802721088435,0.24056603773584906,0.2554347826086957,0.20588235294117646
5,0.051470588235294115,0.047619047619047616,0.0660377358490566,0.09239130434782608,0.11764705882352941
