R:A::C:P,0,1 6,2 4,3,5
0,0.029449423815621,0.023047375160051217,0.023047375160051217,0.006402048655569782,0.011523687580025609
1 6,0.09218950064020487,0.17797695262483995,0.1203585147247119,0.058898847631242,0.0499359795134443
2 4,0.03841229193341869,0.06145966709346991,0.09090909090909091,0.03585147247119078,0.04353393085787452
3,0.005121638924455826,0.01792573623559539,0.019206145966709345,0.011523687580025609,0.010243277848911651
5,0.008962868117797696,0.02176696542893726,0.01792573623559539,0.008962868117797696,0.015364916773367477
