R:A::C:P,0 1 2 6,3 5,4
0 1 2 6,0.5122126436781609,0.18893678160919541,0.10416666666666667
3 5,0.07614942528735633,0.04525862068965517,0.020833333333333332
4,0.02514367816091954,0.015804597701149427,0.011494252873563218
