R:A::C:P,0,1 2,3 4 5
0,0.42105263157894735,0.42105263157894735,0.15789473684210525
1 2,0.2545454545454545,0.5454545454545454,0.2
3 4 5,0.0,0.8333333333333334,0.16666666666666666
