R:A::C:P,0 6,1,2,3,4,5
0 6,171,55,47,58,61,73
1,132,101,39,34,50,25
2,77,50,41,39,34,34
3,30,11,15,15,15,16
4,14,5,16,13,16,9
5,28,12,10,19,14,13
