                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                     012-3-4-5   76.25%     32.77%     38.25%     14.66%  
                     0-123-4-5   65.00%     41.56%     45.62%     27.33%  
                     01-23-4-5   63.75%     45.45%     48.16%     32.79%  
                     01-2-3-45   52.50%     32.14%     32.32%     13.07%  
                     01-2-34-5   52.50%     28.80%     28.12%     8.98%   
                     0-12-3-45   48.75%     32.50%     32.21%     9.60%   
                     0-12-34-5   48.75%     29.16%     28.00%     5.50%   
                     0-1-234-5   43.75%     35.18%     33.18%     14.17%  
                     0-1-23-45   42.50%     42.85%     39.31%     20.19%  
                     0-1-2-345   31.25%     29.53%     28.23%     6.24%   


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                     01-23-4-5   63.75%     45.45%     48.16%     32.79%  
                     0-1-23-45   42.50%     42.85%     39.31%     20.19%  
                     0-123-4-5   65.00%     41.56%     45.62%     27.33%  
                     0-1-234-5   43.75%     35.18%     33.18%     14.17%  
                     012-3-4-5   76.25%     32.77%     38.25%     14.66%  
                     0-12-3-45   48.75%     32.50%     32.21%     9.60%   
                     01-2-3-45   52.50%     32.14%     32.32%     13.07%  
                     0-1-2-345   31.25%     29.53%     28.23%     6.24%   
                     0-12-34-5   48.75%     29.16%     28.00%     5.50%   
                     01-2-34-5   52.50%     28.80%     28.12%     8.98%   


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                     01-23-4-5   63.75%     45.45%     48.16%     32.79%  
                     0-123-4-5   65.00%     41.56%     45.62%     27.33%  
                     0-1-23-45   42.50%     42.85%     39.31%     20.19%  
                     012-3-4-5   76.25%     32.77%     38.25%     14.66%  
                     0-1-234-5   43.75%     35.18%     33.18%     14.17%  
                     01-2-3-45   52.50%     32.14%     32.32%     13.07%  
                     0-12-3-45   48.75%     32.50%     32.21%     9.60%   
                     0-1-2-345   31.25%     29.53%     28.23%     6.24%   
                     01-2-34-5   52.50%     28.80%     28.12%     8.98%   
                     0-12-34-5   48.75%     29.16%     28.00%     5.50%   


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                     01-23-4-5   63.75%     45.45%     48.16%     32.79%  
                     0-123-4-5   65.00%     41.56%     45.62%     27.33%  
                     0-1-23-45   42.50%     42.85%     39.31%     20.19%  
                     012-3-4-5   76.25%     32.77%     38.25%     14.66%  
                     0-1-234-5   43.75%     35.18%     33.18%     14.17%  
                     01-2-3-45   52.50%     32.14%     32.32%     13.07%  
                     0-12-3-45   48.75%     32.50%     32.21%     9.60%   
                     01-2-34-5   52.50%     28.80%     28.12%     8.98%   
                     0-1-2-345   31.25%     29.53%     28.23%     6.24%   
                     0-12-34-5   48.75%     29.16%     28.00%     5.50%   
