R:A::C:P,0 2,1,3 4,5 6
0 2,0.34097421203438394,0.1977077363896848,0.2349570200573066,0.22636103151862463
1,0.3438320209973753,0.2650918635170604,0.2204724409448819,0.17060367454068243
3 4,0.32,0.09142857142857143,0.33714285714285713,0.25142857142857145
5 6,0.23819301848049282,0.09856262833675565,0.2936344969199179,0.36960985626283366
