R:A::C:P,0 2,1,3,4 5
0 2,0.4318181818181818,0.47619047619047616,0.6363636363636364,0.5
1,0.4772727272727273,0.47619047619047616,0.36363636363636365,0.25
3,0.06818181818181818,0.0,0.0,0.0
4 5,0.022727272727272728,0.047619047619047616,0.0,0.25
