R:A::C:P,antag,fool,other,protag
antag,0.0,0.0018018018018018018,0.043243243243243246,0.007207207207207207
fool,0.0018018018018018018,0.021621621621621623,0.009009009009009009,0.0036036036036036037
other,0.036036036036036036,0.06126126126126126,0.7009009009009008,0.05045045045045045
protag,0.005405405405405406,0.0036036036036036037,0.02882882882882883,0.025225225225225224
