R:A::C:P,0,1,2,3,4,5,p
0,0.5789473684210527,0.3157894736842105,0.10526315789473684,0.0,0.0,0.0,0.0
1,0.3055555555555556,0.3333333333333333,0.25,0.027777777777777776,0.0,0.05555555555555555,0.027777777777777776
2,0.10526315789473684,0.47368421052631576,0.3157894736842105,0.10526315789473684,0.0,0.0,0.0
3,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0
4,0.0,0.0,0.5,0.5,0.0,0.0,0.0
5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
p,0.0,0.5,0.5,0.0,0.0,0.0,0.0
