R:A::C:P,0,1,2,3,4,5,p
0,0.4583333333333333,0.2,0.09523809523809523,0.0,0.0,0.0,0.0
1,0.4583333333333333,0.4,0.42857142857142855,0.25,0.0,1.0,1.0
2,0.08333333333333333,0.3,0.2857142857142857,0.5,0.0,0.0,0.0
3,0.0,0.03333333333333333,0.09523809523809523,0.0,0.0,0.0,0.0
4,0.0,0.0,0.047619047619047616,0.25,0.0,0.0,0.0
5,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0
p,0.0,0.03333333333333333,0.047619047619047616,0.0,0.0,0.0,0.0
