R:A::C:P,0,1,2,3,4,5,p
0,11,6,2,0,0,0,0
1,11,12,9,1,0,2,1
2,2,9,6,2,0,0,0
3,0,1,2,0,0,0,0
4,0,0,1,1,0,0,0
5,0,1,0,0,0,0,0
p,0,1,1,0,0,0,0
