R:A::C:P,0 1 2,3 4 5,6
0 1 2,0.49619771863117873,0.2300380228136882,0.043726235741444866
3 4 5,0.06653992395437262,0.06653992395437262,0.026615969581749048
6,0.026615969581749048,0.028517110266159697,0.015209125475285171
