R:A::C:P,0 1 2,3 4 5,6
0 1 2,0.8419354838709677,0.7076023391812866,0.5111111111111111
3 4 5,0.11290322580645161,0.2046783625730994,0.3111111111111111
6,0.04516129032258064,0.08771929824561403,0.17777777777777778
