R:A::C:P,0,1 5,2 3 4 6
0,0.022988505747126436,0.017241379310344827,0.01293103448275862
1 5,0.07830459770114942,0.10847701149425287,0.15589080459770116
2 3 4 6,0.08117816091954023,0.16451149425287356,0.3584770114942529
