R:A::C:P,comedy,history,tragedy
comedy,0.6192660550458715,0.18617021276595744,0.30201342281879195
history,0.1651376146788991,0.675531914893617,0.12080536912751678
tragedy,0.21559633027522937,0.13829787234042554,0.5771812080536913
