R:A::C:P,0 1,2,3,4 5 6
0 1,0.5362637362637362,0.1010989010989011,0.08131868131868132,0.2813186813186813
2,0.3236363636363636,0.14909090909090908,0.14181818181818182,0.38545454545454544
3,0.27450980392156865,0.14705882352941177,0.14705882352941177,0.43137254901960786
4 5 6,0.22678571428571428,0.11785714285714285,0.15535714285714286,0.5
