R:A::C:P,0 4,1,2 3 5 6
0 4,0.04454022988505747,0.017241379310344827,0.04382183908045977
1,0.10201149425287356,0.07255747126436782,0.09913793103448276
2 3 5 6,0.1724137931034483,0.07830459770114942,0.3699712643678161
