R:A::C:P,0 4,1,2 3 5 6
0 4,0.13963963963963963,0.10256410256410256,0.08543417366946779
1,0.31981981981981983,0.43162393162393164,0.19327731092436976
2 3 5 6,0.5405405405405406,0.4658119658119658,0.7212885154061625
