R:A::C:P,0,1 2 3,4,5 6
0,0.3230769230769231,0.1111111111111111,0.16666666666666666,0.09090909090909091
1 2 3,0.6153846153846154,0.7685185185185185,0.6666666666666666,0.8409090909090909
4,0.015384615384615385,0.037037037037037035,0.16666666666666666,0.022727272727272728
5 6,0.046153846153846156,0.08333333333333333,0.0,0.045454545454545456
