R:A::C:P,0 3,1,2 4,5
0 3,0.1125,0.0875,0.05,0.025
1,0.175,0.125,0.1375,0.0125
2 4,0.125,0.0375,0.1,0.0
5,0.0,0.0125,0.0,0.0
