                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                     01246-3-5   78.46%     39.01%     37.75%     10.19%  
                     01236-4-5   75.53%     49.02%     39.92%     12.88%  
                     01234-5-6   73.94%     34.59%     34.26%     3.94%   
                     01256-3-4   72.34%     46.90%     38.04%     12.30%  
                     01235-4-6   68.62%     42.83%     34.80%     9.15%   
                     01245-3-6   68.62%     31.68%     31.52%     -2.07%  
                     0126-35-4   67.29%     52.57%     42.48%     18.45%  
                     0-12346-5   67.02%     46.08%     43.41%     18.08%  
                     0126-34-5   66.76%     44.64%     39.63%     14.22%  
                     0126-3-45   65.43%     40.32%     36.55%     10.52%  
                     0124-35-6   64.89%     37.83%     36.47%     8.12%   
                     0124-3-56   64.36%     38.43%     35.62%     7.24%   
                     01346-2-5   64.36%     38.33%     37.39%     6.58%   
                     0124-36-5   63.56%     35.80%     34.66%     5.51%   
                     0123-46-5   62.77%     44.64%     37.40%     12.07%  
                     0123-4-56   62.50%     48.85%     38.07%     13.19%  
                     0-12356-4   61.44%     53.86%     43.52%     20.34%  
                     01456-2-3   61.44%     36.15%     35.51%     5.09%   
                     0-12456-3   61.17%     42.66%     40.16%     11.44%  
                     0123-45-6   61.17%     36.00%     32.98%     6.15%   
                     01356-2-4   60.11%     46.45%     38.15%     10.21%  
                     0146-23-5   59.84%     40.59%     39.90%     11.34%  
                     0125-3-46   58.78%     42.10%     35.00%     8.90%   
                     01345-2-6   58.78%     32.16%     32.61%     2.31%   
                     0125-34-6   58.51%     37.78%     33.67%     6.68%   
                     05-1246-3   58.51%     43.16%     40.76%     14.36%  
                     0-1246-35   58.24%     48.82%     45.14%     19.12%  
                     0146-2-35   58.24%     42.32%     40.47%     12.56%  
                     0146-25-3   58.24%     37.71%     37.25%     8.53%   
                     0134-26-5   57.98%     40.38%     39.54%     10.16%  
                     0-12345-6   57.71%     38.53%     36.85%     8.15%   
                     0125-36-4   57.71%     43.69%     34.71%     8.29%   
                     03-1246-5   57.18%     41.41%     39.46%     12.01%  
