R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,23,20,6,5,5,3,0,8,0,3
1,30,107,30,20,23,11,17,32,0,10
2,17,58,30,17,19,10,8,8,0,5
3,0,15,6,12,6,2,5,3,0,1
4,1,10,2,7,7,4,5,3,0,0
5,5,11,6,6,5,14,8,1,0,1
6,3,43,10,13,11,7,14,8,0,1
7,1,5,0,0,1,0,1,3,0,1
a2,0,1,0,0,0,0,0,0,0,0
p,5,5,6,4,0,4,2,7,0,0
