R:A::C:P,0 6,1,2,3,4,5
0 6,13,7,1,1,4,2
1,14,22,9,6,4,4
2,4,4,9,5,2,3
3,1,0,1,2,1,0
4,2,0,1,0,1,0
5,1,0,1,1,0,0
