R:A::C:P,0 4,1,2 3 5 6
0 4,0.6666666666666666,0.11904761904761904,0.21428571428571427
1,0.34285714285714286,0.2571428571428571,0.4
2 3 5 6,0.19148936170212766,0.10638297872340426,0.7021276595744681
