R:A::C:P,0 1,2 3,4,5 6
0 1,0.1752873563218391,0.05962643678160919,0.040229885057471264,0.05172413793103448
2 3,0.08405172413793104,0.07902298850574713,0.035201149425287355,0.07255747126436782
4,0.009339080459770116,0.020833333333333332,0.011494252873563218,0.010775862068965518
5 6,0.08189655172413793,0.08908045977011494,0.04956896551724138,0.12931034482758622
